t_index	term	df
1218	blindli	5
1219	blink	3
1220	blister	2
1221	blitz	1
1222	blitzer	1
1223	blizzard	5
1224	bloat	4
1225	bloc	7
1226	block	119
1227	blockad	20
1228	blocker	1
1229	blocki	1
1230	blokosso	2
1231	blond	4
1232	blondhair	1
1233	blood	34
1234	bloodbath	3
1235	bloodchil	2
1236	bloodi	8
1237	bloodiest	1
1238	bloodless	2
1239	bloodsh	12
1240	bloodspatt	1
1241	bloodsplatt	1
1242	bloodstain	1
1243	bloomberg	1
1244	bloomer	1
1245	blous	1
1246	blow	25
1247	blown	11
1248	blowtorch	1
1249	blue	65
1250	blueprint	12
1251	bluewat	1
1252	bluf	5
1253	blunk	2
1254	blunt	2
1255	bluntli	2
1256	blur	2
1257	blurb	1
1258	blusteri	1
1259	blvd	1
1260	bnai	1
1261	board	69
1262	boarder	5
1263	boardwalk	1
1264	boast	3
1265	boat	302
1266	boater	1
1267	boatmen	1
1268	bob	31
1269	bobbi	9
1270	bobic	2
1271	bodi	400
1272	bodien	1
1273	bodin	14
1274	bodon	1
1275	bodyguard	14
1276	bodyhunt	3
1277	boe	3
1278	bog	2
1279	boga	1
1280	bogg	2
1281	bogu	6
1282	bohdan	2
1283	boil	1
1284	boister	1
1285	bojic	1
1286	bold	3
1287	boldli	1
1288	bolivia	1
1289	bolona	3
1290	bolster	13
1291	bolt	1
1292	bomb	609
1293	bombard	2
1294	bombay	7
1295	bombdamag	1
1296	bomber	88
1297	bombet	2
1298	bombey	1
1299	bombladen	2
1300	bombmak	18
1301	bombshel	1
1302	bond	22
1303	bone	61
1304	bonecardi	2
1305	boneweari	1
1306	bonfir	3
1307	bonilla	2
1308	bonni	1
1309	bono	1
1310	bonu	1
1311	boo	4
1312	boobytrap	4
1313	book	32
1314	bookend	1
1315	boom	7
1316	boost	14
1317	booster	1
1318	boot	4
1319	bootbrush	1
1320	booth	11
1321	bor	1
1322	border	70
1323	bore	4
1324	borg	1
1325	bori	7
1326	borisav	1
1327	borislav	4
1328	borisov	1
1329	borivoj	1
1330	bork	1
1331	borka	1
1332	born	45
1333	bornagain	1
1334	borneo	4
1335	borotra	1
1336	borrow	2
1337	borzon	2
1338	bosnia	37
1339	bosniaherzegovina	3
1340	bosnian	11
1341	boss	10
1342	boston	19
1343	bostoni	1
1344	botch	5
1345	bother	9
1346	bottl	8
1347	bouak	1
1348	boucher	11
1349	bouffard	1
1350	bought	11
1351	boulevard	1
1352	bounc	7
1353	bound	15
1354	boundari	2
1355	bounti	1
1356	bow	11
1357	bowel	2
1358	bowen	4
1359	bowl	1
1360	bowman	1
1361	bowmen	1
1362	bowrey	1
1363	box	29
1364	boxer	1
1365	boy	51
1366	boycot	30
1367	boycott	21
1368	boyd	2
1369	boyfriend	4
1370	bozov	5
1371	braca	2
1372	brace	4
1373	braci	3
1374	bracket	1
1375	brad	6
1376	bradi	1
1377	bradman	2
1378	bradshaw	1
1379	brag	4
1380	brain	2
1381	brainwash	3
1382	brake	1
1383	branch	10
1384	brand	6
1385	brandish	6
1386	brandon	1
1387	brash	2
1388	brass	4
1389	brave	6
1390	bravent	1
1391	braveri	2
1392	bravo	8
1393	brazen	1
1394	brazil	3
1395	brazilian	1
1396	breach	3
1397	bread	1
1398	breadbasket	2
1399	break	152
1400	breakaway	2
1401	breakdown	3
1402	breaker	1
1403	breakfast	6
1404	breakout	15
1405	breakpoint	1
1406	breakthrough	16
1407	breakup	4
1408	breast	5
1409	breath	6
1410	breaux	1
1411	breed	5
1412	breez	6
1413	breme	1
1414	bremer	1
1415	brenton	2
1416	brevant	1
1417	brew	3
1418	brewer	1
1419	brian	17
1420	bribe	43
1421	briberi	10
1422	brick	12
1423	brickwal	1
1424	bride	1
1425	bridg	23
1426	bridgett	1
1427	brie	6
1428	brief	69
1429	briefli	24
1430	brig	1
1431	brigad	3
1432	bright	10
1433	brighten	2
1434	brighter	1
